States,County,Total Population,Hispanic Men,Hispanic Women,White Men,White Women,Black Men,Black Women,Native Men,Native Women,Asian Men,Asian Women,Pacific Men,Pacific Women,Others
Alaska,Kusilvak Census Area,"8,129",69,60,164,143,17,15,"3,890","3,393",21,18,0,0,339
Alaska,Lake and Peninsula Borough,"1,301",9,9,144,139,4,4,440,426,14,14,1,1,96
Alaska,Matanuska-Susitna Borough,"101,135","2,422","2,221","42,158","38,644",515,492,"2,616","2,402",684,608,82,77,"8,214"
Alaska,Nome Census Area,"9,869",122,111,766,694,40,36,"3,850","3,352",71,62,14,13,738
Alaska,North Slope Borough,"9,757",243,156,"2,266",782,34,15,"2,818","2,149",305,233,87,73,596
Alaska,Northwest Arctic Borough,"7,715",106,89,463,390,23,19,"3,397","2,896",36,30,0,0,266
Alaska,Petersburg Borough,"3,275",182,164,"1,156","1,040",10,9,113,102,115,103,18,17,246
Alaska,Prince of Wales-Hyder Census Area,"6,473",127,110,"1,597","1,333",4,3,"1,390","1,188",38,33,20,16,614
Alaska,Sitka City and Borough,"8,810",283,271,"2,832","2,666",46,42,592,563,293,294,20,17,891
Alaska,Skagway Municipality,"1,038",40,30,466,348,1,0,31,23,23,17,0,0,59
Alaska,Southeast Fairbanks Census Area,"6,889",205,150,"2,888","2,270",57,42,401,393,70,61,2,2,348
Alaska,Valdez-Cordova Census Area,"9,439",235,216,"3,473","3,152",7,6,611,636,140,126,30,25,782
Alaska,Wrangell City and Borough,"2,475",40,38,824,769,2,2,263,246,39,37,0,0,215
Alaska,Yakutat City and Borough,682,20,17,159,138,3,2,103,89,19,17,4,4,107
Alaska,Yukon-Koyukuk Census Area,"5,453",61,52,626,534,2,1,"2,061","1,776",20,17,0,0,303
Arizona,Apache County,"71,602","2,230","2,123","6,688","6,505",169,174,"25,470","26,635",119,119,25,26,"1,319"
Arizona,Cochise County,"126,516","22,218","22,031","35,607","34,769","2,551","1,966",646,458,"1,084","1,160",240,223,"3,563"
Arizona,Coconino County,"138,639","9,579","9,643","37,268","37,982",797,915,"17,344","18,386","1,190","1,273",93,102,"4,067"
Arizona,Gila County,"53,145","4,979","4,917","16,416","16,925",117,118,"4,094","4,200",217,223,0,0,939
Arizona,Graham County,"37,700","6,787","5,464","10,309","8,972",444,250,"2,283","2,446",164,112,38,14,417
Arizona,Greenlee County,"9,368","2,332","2,014","2,359","2,095",97,83,179,153,16,14,0,0,26
Arizona,La Paz County,"20,477","2,774","2,607","6,193","5,826",87,78,"1,141","1,123",78,73,22,22,453
Arizona,Maricopa County,"4,155,501","634,324","636,520","1,150,057","1,189,186","104,700","105,590","31,689","31,715","79,188","80,371","3,834","3,849","104,478"
Arizona,Mohave County,"204,691","16,444","16,093","80,395","79,236","1,052",926,"2,099","2,160","1,165","1,176",126,126,"3,693"
Arizona,Navajo County,"107,902","6,281","5,758","22,738","22,165",409,348,"22,773","23,839",316,341,57,58,"2,819"
Arizona,Pima County,"1,007,257","181,927","186,394","259,497","270,244","16,176","15,660","11,824","12,348","13,026","13,415",654,669,"25,423"
Arizona,Pinal County,"405,537","64,767","55,232","118,207","114,670","9,712","7,477","9,310","8,008","3,454","3,114",964,405,"10,217"
Arizona,Santa Cruz County,"46,358","18,444","20,196","3,414","3,548",69,67,45,45,169,180,0,0,181
Arizona,Yavapai County,"220,972","15,410","16,068","87,350","91,372",540,574,"1,646","1,586",944,"1,000",14,15,"4,453"
Arizona,Yuma County,"204,281","65,627","62,796","33,507","31,446","1,977","1,634",956,890,"1,207","1,104",49,49,"3,039"
Arkansas,Arkansas County,"18,352",258,282,"6,162","6,700","2,279","2,487",1,1,1,1,0,0,180
Arkansas,Ashley County,"20,771",513,566,"6,980","7,144","2,500","2,801",23,23,0,0,0,0,221
Arkansas,Baxter County,"41,093",409,457,"18,872","20,193",30,32,96,105,80,82,5,5,727
Arkansas,Benton County,"251,823","20,045","20,875","92,670","94,209","1,988","1,992","1,686","1,786","4,576","4,577",585,588,"6,246"
Arkansas,Boone County,"37,212",395,462,"17,180","17,884",59,74,193,202,93,94,17,16,543
Arkansas,Bradley County,"10,994",765,852,"2,943","3,194","1,533","1,663",0,0,0,0,0,0,44
Arkansas,Calhoun County,"5,194",106,94,"1,957","1,814",585,549,4,3,6,6,4,4,62
Arkansas,Carroll County,"27,782","2,047","2,049","10,946","11,438",62,71,74,76,133,143,85,83,575
Arkansas,Chicot County,"11,008",280,289,"2,164","2,142","2,868","3,086",21,19,26,27,0,0,86
Arkansas,Clark County,"22,495",501,529,"7,464","8,071","2,464","2,898",34,30,72,80,0,0,352
Arkansas,Clay County,"15,190",139,146,"7,102","7,441",51,50,36,36,0,0,0,0,189
Arkansas,Cleburne County,"25,361",302,313,"11,845","12,198",73,73,89,88,98,105,0,0,177
Arkansas,Cleveland County,"8,332",73,69,"3,551","3,506",458,460,14,14,4,4,0,0,179
Arkansas,Columbia County,"23,992",289,320,"6,928","7,311","3,932","4,423",31,40,112,149,0,0,457
Arkansas,Conway County,"20,954",372,418,"8,470","8,662","1,108","1,193",33,26,6,6,0,0,660
Arkansas,Craighead County,"104,246","2,466","2,613","39,355","41,262","6,705","7,202",97,102,563,618,75,75,"3,113"
Arkansas,Crawford County,"62,119","2,148","2,375","26,113","26,699",396,427,487,494,515,595,0,0,"1,870"
Arkansas,Crittenden County,"49,278",562,599,"10,119","11,145","11,294","12,766",62,69,148,169,29,31,"2,285"
Arkansas,Cross County,"17,164",161,160,"6,129","6,391","1,822","2,069",2,3,5,6,0,0,416
Arkansas,Dallas County,"7,585",109,118,"1,940","2,096","1,452","1,583",14,16,58,64,8,9,118
Arkansas,Desha County,"12,094",310,382,"2,514","3,013","2,658","3,081",7,7,7,10,0,0,105
Arkansas,Drew County,"18,620",279,287,"6,143","6,309","2,543","2,812",9,8,14,12,0,0,204
Arkansas,Faulkner County,"121,282","2,366","2,471","47,868","49,895","6,750","7,038",170,179,750,782,76,81,"2,856"
Arkansas,Franklin County,"17,803",251,260,"8,011","8,436",84,88,138,144,44,43,13,14,277
Arkansas,Fulton County,"12,092",75,79,"5,680","5,870",18,19,50,50,2,2,2,2,243
Arkansas,Garland County,"97,994","2,550","2,692","39,067","41,843","3,753","4,176",352,358,227,253,3,3,"2,717"
Arkansas,Grant County,"18,076",223,226,"8,224","8,583",235,281,19,16,2,3,1,1,262
Arkansas,Greene County,"44,197",587,612,"20,488","20,994",216,235,65,71,55,65,21,24,764
Arkansas,Hempstead County,"22,154","1,246","1,516","5,824","6,395","3,004","3,528",25,26,8,9,36,43,494
Arkansas,Hot Spring County,"33,480",561,562,"14,441","13,279","1,799","1,862",54,43,51,40,0,0,788
Arkansas,Howard County,"13,472",775,838,"4,305","4,446","1,357","1,451",12,11,10,12,0,0,255
Arkansas,Independence County,"37,097","1,107","1,146","16,069","16,990",351,363,48,45,121,134,1,2,720
Arkansas,Izard County,"13,521",161,116,"6,478","6,163",157,100,69,72,12,10,0,0,183
Arkansas,Jackson County,"17,429",237,235,"6,660","6,798","1,402","1,546",11,15,4,4,0,0,517
Arkansas,Jefferson County,"71,373",711,683,"14,409","13,824","19,272","20,875",75,86,254,282,0,0,902
Arkansas,Johnson County,"26,155","1,813","1,774","10,389","10,619",211,199,27,29,211,216,8,8,651
Arkansas,Lafayette County,"7,051",39,42,"2,060","2,121","1,298","1,365",9,9,14,14,0,0,80
Arkansas,Lawrence County,"16,777",106,108,"7,935","8,128",72,79,42,43,6,6,1,0,251
Arkansas,Lee County,"9,614",100,30,"2,340","1,565","2,958","2,501",7,6,4,5,0,0,98
Arkansas,Lincoln County,"13,885",301,193,"5,025","3,938","3,248","1,072",38,13,0,0,0,0,57
Arkansas,Little River County,"12,494",211,200,"4,493","4,650","1,263","1,291",79,80,0,0,0,0,227
Arkansas,Logan County,"21,802",293,336,"9,786","10,008",222,232,113,115,139,139,0,0,419
Arkansas,Lonoke County,"71,568","1,525","1,509","30,462","31,453","2,084","2,201",167,152,223,239,35,40,"1,478"
Arkansas,Madison County,"15,907",424,436,"7,237","7,104",3,4,82,79,31,34,34,38,401
Arkansas,Marion County,"16,374",170,180,"7,618","7,877",14,15,85,88,35,36,0,0,256
Arkansas,Miller County,"43,760",670,657,"15,015","15,359","5,185","5,473",148,139,96,98,12,13,895
Arkansas,Mississippi County,"43,534",839,900,"12,566","12,988","7,152","8,130",5,4,112,120,10,10,698
Arkansas,Monroe County,"7,420",87,101,"1,875","2,155","1,390","1,633",0,0,16,20,0,0,143
Arkansas,Montgomery County,"9,059",184,189,"4,080","4,154",13,12,77,79,44,46,0,0,181
Arkansas,Nevada County,"8,528",16,15,"2,816","2,586","1,483","1,365",2,2,62,57,0,0,124
Arkansas,Newton County,"7,898",53,55,"3,757","3,693",0,0,59,61,21,21,0,0,178
Arkansas,Ouachita County,"24,378",233,279,"6,464","7,075","4,656","5,266",26,29,8,8,0,0,334
Arkansas,Perry County,"10,320",146,141,"4,715","4,799",103,110,24,25,4,4,0,0,249
Arkansas,Phillips County,"19,518",154,181,"3,194","3,546","5,767","6,472",0,1,4,4,0,0,195
Arkansas,Pike County,"10,893",354,354,"4,740","4,798",149,153,23,22,39,39,0,0,222
Arkansas,Poinsett County,"24,098",331,347,"10,318","10,736",649,681,21,20,7,7,0,0,981
Arkansas,Polk County,"20,212",632,664,"8,686","9,102",46,50,106,109,46,50,0,0,721
Arkansas,Pope County,"63,372","2,645","2,734","26,639","27,041",872,959,113,117,302,332,0,0,"1,618"
Arkansas,Prairie County,"8,309",21,22,"3,510","3,546",551,558,16,16,0,0,0,0,69
